Stage,Test Accuracy,Training Time (s),Parameters
stage1,0.8253333333333334,462.4058368206024,10711878
stage2,0.8296666666666667,397.1513514518738,10712326
stage3,0.802,390.30480694770813,10712326
stage4,0.8613333333333333,471.723513841629,11184390
